version_uri	date	author	author_ar	book	title	title_ar	ed_info	id	status	tok_length	local_path	tags	tags_ar	char_length
0001TarafaIbnCabd.Diwan.Shamela0036422-ara1	1	Tarafa Ibn Cabd	طرفة بن العبد بن سفيان بن سعد البكري الوائلي أبو عمرو الشاعر الجاهلي (المتوفى: 564 م)	0001TarafaIbnCabd.Diwan	Diwan	ديوان طرفة بن العبد	مهدي محمد ناصر الدين;دار الكتب العلمية	Shamela0036422	pri	5572	data/0001TarafaIbnCabd/0001TarafaIbnCabd.Diwan/0001TarafaIbnCabd.Diwan.Shamela0036422-ara1	CENT0100;_ADAB;_BALAGHA;_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@literature-arabic;GAL@literature-national	الأدب والبلاغة	22857
0001TufaylGhanawi.Diwan.JK007519-ara1	1	Tufayl Ghanawi	طفيل الغنوي	0001TufaylGhanawi.Diwan	Diwan	ديوان طفيل الغنوي		JK007519	pri	3972	data/0001TufaylGhanawi/0001TufaylGhanawi.Diwan/0001TufaylGhanawi.Diwan.JK007519-ara1	_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@literature-arabic;GAL@literature-national	جاهلي :: دواوين الشعر العربي	16295
0001ZuhayrIbnAbiSulma.Diwan.JK007516-ara1	1	Zuhayr Ibn Abi Sulma	زهير بن أبي سلمى	0001ZuhayrIbnAbiSulma.Diwan	Diwan	ديوان زهير بن أبي سلمى		JK007516	pri	4431	data/0001ZuhayrIbnAbiSulma/0001ZuhayrIbnAbiSulma.Diwan/0001ZuhayrIbnAbiSulma.Diwan.JK007516-ara1	_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@literature-arabic;GAL@literature-national	جاهلي :: دواوين الشعر العربي	18471
0005Hadira.Diwan.JK007504-ara1	5	Hadira	الحادرة	0005Hadira.Diwan	Diwan	ديوان الحادرة		JK007504	pri	900	data/0005Hadira/0005Hadira.Diwan/0005Hadira.Diwan.JK007504-ara1	_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@literature-arabic;GAL@literature-national	جاهلي :: دواوين الشعر العربي	3744
0007MaymunIbnQaysAcsha.Diwan.JK007503-ara1	7	Maymun Ibn Qays Acsha	الأعشى	0007MaymunIbnQaysAcsha.Diwan	Diwan	ديوان الأعشى		JK007503	pri	19432	data/0007MaymunIbnQaysAcsha/0007MaymunIbnQaysAcsha.Diwan/0007MaymunIbnQaysAcsha.Diwan.JK007503-ara1	_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@literature-arabic;GAL@literature-national	جاهلي :: دواوين الشعر العربي	80762
0011CamirIbnTufayl.Diwan.JK007520-ara1	11	Camir Ibn Tufayl	عامر بن الطفيل	0011CamirIbnTufayl.Diwan	Diwan	ديوان عامر بن الطفيل		JK007520	pri	3521	data/0011CamirIbnTufayl/0011CamirIbnTufayl.Diwan/0011CamirIbnTufayl.Diwan.JK007520-ara1	_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@literature-arabic;GAL@literature-national	جاهلي :: دواوين الشعر العربي	14836
0021CamrZubaydi.Diwan.JK007536-ara1	21	Camr Zubaydi	عمرو بن معدي كرب	0021CamrZubaydi.Diwan	Diwan	ديوان عمرو بن معدي كرب		JK007536	pri	891	data/0021CamrZubaydi/0021CamrZubaydi.Diwan/0021CamrZubaydi.Diwan.JK007536-ara1	_MUKHADRAM;_SHICR;GAL@literature-arabic;GAL@literature-national	دواوين الشعر العربي :: مخضرم	3722
0022ShammakhIbnDirar.Diwan.JK007533-ara1	22	Shammakh Ibn Dirar	الشماخ بن ضرار	0022ShammakhIbnDirar.Diwan	Diwan	ديوان الشماخ بن ضرار		JK007533	pri	5525	data/0022ShammakhIbnDirar/0022ShammakhIbnDirar.Diwan/0022ShammakhIbnDirar.Diwan.JK007533-ara1	_MUKHADRAM;_SHICR;GAL@literature-arabic;GAL@literature-national	دواوين الشعر العربي :: مخضرم	23075
0024TumadirBinCamrKhansa.Diwan.JK007532-ara1	24	Tumadir Bin Camr Khansa	الخنساء	0024TumadirBinCamrKhansa.Diwan	Diwan	ديوان الخنساء		JK007532	pri	8410	data/0024TumadirBinCamrKhansa/0024TumadirBinCamrKhansa.Diwan/0024TumadirBinCamrKhansa.Diwan.JK007532-ara1	_MUKHADRAM;_SHICR;GAL@literature-arabic;GAL@literature-national	دواوين الشعر العربي :: مخضرم	34829
0026KacbIbnZuhayr.Diwan.JK007537-ara1	26	Kacb Ibn Zuhayr	كعب بن زهير	0026KacbIbnZuhayr.Diwan	Diwan	ديوان كعب بن زهير		JK007537	pri	6212	data/0026KacbIbnZuhayr/0026KacbIbnZuhayr.Diwan/0026KacbIbnZuhayr.Diwan.JK007537-ara1	_MUKHADRAM;_SHICR;GAL@literature-arabic;GAL@literature-national	دواوين الشعر العربي :: مخضرم	26210
