version_uri	date	author_ar	author_lat	book	title_ar	title_lat	ed_info	id	status	tok_length	local_path	tags	author_from_uri	author_lat_shuhra	author_lat_full_name	char_length
0595IbnRushdHafid.TalkhisBurhan.DARE00108-ara1	595		Ibn Rushd Hafid	0595IbnRushdHafid.TalkhisBurhan		Talkhis Burhan		DARE00108	pri	29470	../data/0595IbnRushdHafid/0595IbnRushdHafid.TalkhisBurhan/0595IbnRushdHafid.TalkhisBurhan.DARE00108-ara1	:: DARE@Logic	Ibn Rushd Hafid			122608
0595IbnRushdHafid.TalkhisSamaWaCalam.DARE00109-ara1	595		Ibn Rushd Hafid	0595IbnRushdHafid.TalkhisSamaWaCalam		Talkhis Sama Wa Calam		DARE00109	pri	58635	../data/0595IbnRushdHafid/0595IbnRushdHafid.TalkhisSamaWaCalam/0595IbnRushdHafid.TalkhisSamaWaCalam.DARE00109-ara1	:: DARE@Philosophy_of_Nature	Ibn Rushd Hafid			245255
0595IbnRushdHafid.MaqayisMukhtalata.DARE00112-ara1	595		Ibn Rushd Hafid	0595IbnRushdHafid.MaqayisMukhtalata		Maqayis Mukhtalata		DARE00112	pri	1624	../data/0595IbnRushdHafid/0595IbnRushdHafid.MaqayisMukhtalata/0595IbnRushdHafid.MaqayisMukhtalata.DARE00112-ara1	:: DARE@Logic	Ibn Rushd Hafid			7067
0434AnonymousDruze.RasailHikma.eScr20102915-ara1	434		Anonymous Druze	0434AnonymousDruze.RasailHikma		Rasail Hikma	http://www.worldcat.org/oclc/254989531	eScr20102915	pri	56477	../data/0434AnonymousDruze/0434AnonymousDruze.RasailHikma/0434AnonymousDruze.RasailHikma.eScr20102915-ara1	:: UNCORRECTED_OCR	Anonymous Druze			247702
0363QadiNucman.IkhtilafUsulMadhahib.eScr20110913-ara1	363		Qadi Nucman	0363QadiNucman.IkhtilafUsulMadhahib		Ikhtilaf Usul Madhahib	http://www.worldcat.org/oclc/248223225	eScr20110913	pri	42132	../data/0363QadiNucman/0363QadiNucman.IkhtilafUsulMadhahib/0363QadiNucman.IkhtilafUsulMadhahib.eScr20110913-ara1	:: UNCORRECTED_OCR	Qadi Nucman			170175
0595Daylami.SharhAnfasRuhaniyya.eScr20112317-ara1	595		Daylami	0595Daylami.SharhAnfasRuhaniyya		Sharh Anfas Ruhaniyya	http://www.worldcat.org/oclc/162106164	eScr20112317	pri	38428	../data/0595Daylami/0595Daylami.SharhAnfasRuhaniyya/0595Daylami.SharhAnfasRuhaniyya.eScr20112317-ara1	:: UNCORRECTED_OCR	Daylami			162371
0709IbnCataAllahSikandari.TanwirFiIsqatTadbir.eScr20112411-ara1	709		Ibn Cata Allah Sikandari	0709IbnCataAllahSikandari.TanwirFiIsqatTadbir		Tanwir Fi Isqat Tadbir	http://www.worldcat.org/oclc/4771022987	eScr20112411	pri	42054	../data/0709IbnCataAllahSikandari/0709IbnCataAllahSikandari.TanwirFiIsqatTadbir/0709IbnCataAllahSikandari.TanwirFiIsqatTadbir.eScr20112411-ara1	:: UNCORRECTED_OCR	Ibn Cata Allah Sikandari			177002
0696IbrahimDasuqi.JawharaMudia.eScr20112522-ara1	696		Ibrahim Dasuqi	0696IbrahimDasuqi.JawharaMudia		Jawhara Mudia	http://www.worldcat.org/oclc/4770538602	eScr20112522	pri	92974	../data/0696IbrahimDasuqi/0696IbrahimDasuqi.JawharaMudia/0696IbrahimDasuqi.JawharaMudia.eScr20112522-ara1	:: UNCORRECTED_OCR	Ibrahim Dasuqi			402611
0845AbuHafsSamarqandi.NaylHathith.eScr20112614-ara1	845		Abu Hafs Samarqandi	0845AbuHafsSamarqandi.NaylHathith		Nayl Hathith	http://www.worldcat.org/oclc/47295274	eScr20112614	pri	45448	../data/0845AbuHafsSamarqandi/0845AbuHafsSamarqandi.NaylHathith/0845AbuHafsSamarqandi.NaylHathith.eScr20112614-ara1	:: UNCORRECTED_OCR	Abu Hafs Samarqandi			183736
0850ShihabDinIbshihi.TadhkiratCarifin.eScr20120309-ara1	850		Shihab Din Ibshihi	0850ShihabDinIbshihi.TadhkiratCarifin		Tadhkirat Carifin		eScr20120309	pri	78895	../data/0850ShihabDinIbshihi/0850ShihabDinIbshihi.TadhkiratCarifin/0850ShihabDinIbshihi.TadhkiratCarifin.eScr20120309-ara1	:: UNCORRECTED_OCR	Shihab Din Ibshihi			323057
